rank_by_estimated_users,rank_by_ai_share,rank_by_h1_to_h2_change,rank_by_h2_to_q1_change,rank_by_readiness,rank_by_access_headroom,rank_by_positive_diffusion_gap,rank_by_negative_diffusion_gap,country,microsoft_economy,code,region,income_group,ai_share_h1_2025_pct,ai_share_h2_2025_pct,ai_share_q1_2026_pct,h1_to_h2_change_pp,h2_to_q1_change_pp,h1_to_q1_change_pp,h1_to_h2_growth_pct,h2_to_q1_growth_pct,h1_to_q1_growth_pct,working_age_population_2025,working_age_population_2026,estimated_ai_users_h1_2025,estimated_ai_users_h2_2025,estimated_ai_users_q1_2026,estimated_user_change_h1_to_h2,estimated_user_change_h2_to_q1,estimated_user_change_h1_to_q1,internet_user_pct,internet_year,electricity_access_pct,electricity_year,gdp_per_capita_usd,gdp_year,gdp_readiness_score,readiness_score,access_ceiling_pct,access_headroom_users,internet_normalised_ai_intensity_pct,modelled_ai_share_q1_2026_pct,modelled_ai_users_q1_2026,diffusion_gap_pp,modelled_user_gap_q1_2026,offline_working_age_population,source_url
27,24,19,24,41,36,23,123,Poland,Poland,POL,Europe & Central Asia,High income,26.4,28.5,31.0,2.1000000000000014,2.5,4.600000000000001,7.95454545454546,8.771929824561402,17.42424242424243,24709891,24450247,6523411,7042319,7579577,518908,537258,1056166,88.58496367,2024,100.0,2023,25103.565661423,2024,66.01596419972009,86.92492285844402,88.58496367,14079666,34.99465227020057,26.095589411502512,6380436,4.904410588497488,1199141,2791005,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
28,11,12,19,10,43,29,117,Australia,Australia,AUS,East Asia & Pacific,High income,34.5,36.9,39.5,2.3999999999999986,2.6,5.0,6.956521739130431,7.046070460704611,14.492753623188406,17324709,17429497,5977025,6392818,6884651,415793,491833,907626,96.13140106,2024,100.0,2023,64603.9856308464,2024,79.18176167083215,93.70862291716644,96.13140106,9870568,41.089591501268394,35.41019413265021,6171819,4.089805867349789,712832,674277,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
29,50,31,37,44,23,76,70,Argentina,Argentina,ARG,Latin America & Caribbean,Upper middle income,17.8,19.6,21.9,1.8000000000000007,2.3,4.099999999999998,10.112359550561802,11.734693877551006,23.033707865168527,30422327,30697753,5415174,5962776,6722808,547602,760032,1307634,89.66715228,2024,100.0,2023,13969.7836603737,2024,57.852499045737694,85.88743356314754,89.66715228,20802993,24.423659548832056,21.870047935586488,6713613,0.029952064413510726,9195,3171952,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
30,1,2,2,6,87,1,145,United Arab Emirates,United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan",High income,59.4,64.0,70.1,4.600000000000001,6.1,10.699999999999996,7.744107744107747,9.531249999999991,18.013468013468007,9329852,9520772,5541932,5971105,6674061,429173,702956,1132129,100.0,2024,100.0,2023,50273.5060469837,2024,75.68861430425862,95.13772286085174,100.0,2846711,70.1,33.70491282355246,3208968,36.39508717644753,3465093,0,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
31,87,41,65,49,16,130,16,Thailand,Thailand,THA,East Asia & Pacific,Upper middle income,9.1,10.7,12.4,1.5999999999999996,1.7,3.3000000000000007,17.582417582417577,15.887850467289729,36.26373626373628,49824787,49547699,4534056,5331252,6143915,797196,812663,1609859,90.86718789,2024,100.0,2023,7346.62022142185,2024,48.90149374977796,84.75725208945559,90.86718789,38878686,13.646290028267321,17.831352884976344,8835025,-5.431352884976343,-2691110,4525098,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
32,130,127,111,129,40,86,60,Ethiopia,Ethiopia,ETH,Sub-Saharan Africa,Not classified,6.4,6.8,7.6,0.39999999999999947,0.8,1.1999999999999993,6.249999999999992,11.764705882352938,18.74999999999999,78471563,80731735,5022180,5336066,6135612,313886,799546,1113432,21.94129944,2024,55.4,2023,1133.88279681719,2024,22.87548068755627,30.492810829511257,21.94129944,11577980,34.63787557698087,8.259904877208154,6668365,-0.6599048772081542,-532753,63018143,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
33,51,49,47,23,27,74,72,Malaysia,Malaysia,MYS,East Asia & Pacific,Upper middle income,18.3,19.7,21.8,1.3999999999999986,2.1,3.5,7.6502732240437075,10.659898477157368,19.12568306010929,25421096,25766357,4652061,5007956,5617066,355895,609110,965005,98.0206059,2024,100.0,2023,11874.4273684245,2024,55.5890436006984,90.02914196513969,98.0206059,19639273,22.240221634867492,21.738345086233235,5601180,0.06165491376676613,15886,510018,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
34,119,78,99,139,50,70,76,Democratic Republic of Congo,Democratic Republic Of The Congo,COD,Sub-Saharan Africa,Low income,7.0,7.8,8.7,0.7999999999999998,0.9,1.6999999999999993,11.428571428571425,11.538461538461533,24.285714285714274,57506565,59478099,4025460,4485512,5174595,460052,689083,1149135,19.67350006,2024,22.1,2023,649.383338556725,2024,15.112216663705121,19.367868365741025,19.67350006,6526829,44.22192275633134,8.507161163957692,5059898,0.19283883604230745,114697,47776675,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
35,9,6,10,7,52,18,128,Netherlands,Netherlands,NLD,Europe & Central Asia,High income,36.3,38.9,42.1,2.6000000000000014,3.2,5.800000000000004,7.162534435261712,8.226221079691525,15.977961432506902,11778139,11783347,4275464,4581696,4960789,306232,379093,685325,97.00679779,2024,100.0,2023,67520.4218956281,2024,79.79674453925605,94.31308769235122,97.00679779,6469859,43.39902043889538,35.96630305434708,4238034,6.133696945652922,722755,352699,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
36,20,25,7,,,,,Taiwan,Taiwan,TWN,Unclassified,Unclassified,26.4,28.4,31.8,2.0,3.4,5.400000000000002,7.575757575757576,11.971830985915501,20.454545454545464,15818239,15597335,4176015,4492380,4959953,316365,467573,783938,,,,,,,,,,,,,,,,,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
